,,,,,,,,,,,,,,,,,,Minimum Burns from LEO (no Venus flyby),,
Weywot,3,D,4,Quaoar,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,Neptune,N/A,10:30,12,,
Quaoar,7,S,4,Quaoar,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8,Neptune,N/A,10:45,12.5,,1
Triton Mahilani Plume,8,M,4,Triton,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,Neptune,N/A,10:15,8,2,1
Triton Tuonela Planitia,8,C,4,Triton,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,Neptune,N/A,10:15,8,2,1
Nereid,4,S,3,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Neptune,N/A,9:45,8,1,2
Sao,1,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Neptune,N/A,9:45,9,1,2
Arrokoth,1,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Neptune,N/A,10:00,12,,
Despina,3,D,4,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,Neptune,N/A,10:00,9,1,1
Neptune Aerostat,11,H,2,,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Atmospheric,Neptune,N/A,10:00,10,2,2
Sedna,6,H,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,Neptune,N/A,10:00,22.5,,
Comet McNaught,1,H,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Neptune,N/A,10:15,17,,1
Proteus,4,D,3,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Neptune,N/A,10:15,9,1,1
Huya,5,M,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,Neptune,N/A,10:30,12,,
